"thresh","n_flagged","FDR","false_loss_cross","true_contam_caught"
0.3,171,0.707602339181287,1,1
0.32,170,0.705882352941177,1,1
0.34,159,0.685534591194969,1,1
0.36,152,0.671052631578947,1,1
0.38,151,0.66887417218543,1,1
0.4,150,0.666666666666667,1,1
0.42,150,0.666666666666667,1,1
0.44,150,0.666666666666667,1,1
0.46,150,0.666666666666667,1,1
0.48,150,0.666666666666667,1,1
0.5,150,0.666666666666667,1,1
0.52,150,0.666666666666667,1,1
0.54,150,0.666666666666667,1,1
0.56,150,0.666666666666667,1,1
0.58,150,0.666666666666667,1,1
0.6,150,0.666666666666667,1,1
0.62,150,0.666666666666667,1,1
0.64,150,0.666666666666667,1,1
0.66,150,0.666666666666667,1,1
0.68,150,0.666666666666667,1,1
0.7,150,0.666666666666667,1,1
0.72,150,0.666666666666667,1,1
0.74,150,0.666666666666667,1,1
0.76,149,0.664429530201342,1,1
0.78,144,0.652777777777778,1,1
0.8,138,0.63768115942029,1,1
0.82,119,0.579831932773109,1,1
0.84,108,0.537037037037037,1,1
0.86,101,0.504950495049505,1,1
0.88,100,0.5,1,1
0.9,100,0.5,1,1
0.92,100,0.5,1,1
0.94,100,0.5,1,1
0.96,24,0.708333333333333,0.34,0.14
0.98,0,NA,0,0
